CORREL,CHISQR,INTERSECT,BHATTACHARYYA,EMD,Screen_Transition
0.999997861,0.207352781,0.975607077,0.105694549,0.0687649342,0
0.999997694,0.172016055,0.97549595,0.102285331,0.0658609023,0
0.999999058,0.0541613657,0.98281208,0.0749458183,0.0363771941,0
0.999996255,0.0831728831,0.967214475,0.108877643,0.0671344164,0
0.999997965,0.155022633,0.973635939,0.108031995,0.0692028093,1
0.999993247,0.200244684,0.978922731,0.104529567,0.0676040929,0
0.999996729,0.22677754,0.97194704,0.120954676,0.0848329668,0
0.999990507,0.292457302,0.967078178,0.127437116,0.0973437719,0
0.999994328,0.118710859,0.976575314,0.0982250958,0.0610146586,0
0.999989962,0.379864745,0.96311458,0.130151381,0.0990590069,0
0.999998634,0.164884854,0.978068931,0.0954590802,0.0545054658,0
0.999998865,0.0981463629,0.98160049,0.0817075666,0.0417244493,0
0.999998546,0.157899645,0.978043385,0.0998294967,0.0603958094,0
0.999998689,0.105966616,0.980607958,0.0875516813,0.0474489574,0
0.999998397,0.0990186104,0.982287336,0.087605654,0.0473829381,0
0.999998395,0.16256707,0.978839249,0.102384397,0.0614048495,0
0.999999218,0.0835086885,0.982586927,0.0792319906,0.0375777442,0
0.99999913,0.0547858995,0.986106297,0.073818633,0.0346045605,0
0.999998975,0.0629471078,0.98292892,0.0798417323,0.0397531298,0
0.999995577,0.706494295,0.962506361,0.150735442,0.11867702,0
0.999996188,0.286946362,0.974815085,0.118687598,0.0807246291,0
0.999997275,0.320198737,0.971592439,0.13265168,0.0975466948,0
0.999997901,0.246097172,0.973347028,0.117423334,0.0809144033,0
0.999996011,0.254646616,0.972402329,0.12016055,0.0875272768,0
0.99999627,0.448294156,0.970177796,0.121892019,0.088688762,0
0.999996974,0.146177745,0.972082156,0.102016938,0.0644289829,0
0.999996448,0.244313879,0.972546559,0.113449493,0.0775179644,0
0.999996875,0.201078059,0.973177907,0.108734492,0.0733656594,0
0.999996628,0.308329391,0.971175569,0.117742146,0.0830602723,0
0.999997624,0.198422708,0.976205943,0.102874296,0.0643173328,0
0.999998794,0.0969858362,0.982309365,0.0801234952,0.0419268111,0
0.999998173,0.11235008,0.976267659,0.0916153585,0.0532397005,0
0.99999824,0.123381517,0.978845641,0.0925638196,0.0553410076,0
0.999998462,0.0891883196,0.978781621,0.0875887622,0.0489389231,0
0.999998718,0.0680541561,0.983763245,0.0760522347,0.036907281,0
0.999998707,0.0780286286,0.98233685,0.081284275,0.0421416638,0
0.999996702,0.371021725,0.962848209,0.138102337,0.101241201,0
0.999995104,0.602674605,0.981126018,0.130014004,0.0936340848,0
0.999993916,0.283611849,0.96552903,0.127397198,0.0938551438,0
0.999998452,0.112131756,0.982547789,0.0877785369,0.049054771,0
0.999998611,0.0856678934,0.982356336,0.0859083174,0.0469182663,0
0.999997799,0.124777532,0.97051573,0.0991490304,0.0621768472,0
0.999997283,0.123144146,0.975784073,0.0976253336,0.0605211335,0
0.999998179,0.0803646046,0.982391369,0.0826706129,0.044154179,0
0.999998302,0.105061305,0.978955773,0.0823005273,0.043591631,0
0.999997822,0.0616226538,0.981534327,0.0798717923,0.0420689075,0
0.999993825,0.185215546,0.97481781,0.101258695,0.065833624,0
0.999996051,0.163387196,0.973712045,0.103430018,0.0646585603,0
0.99999818,0.168902599,0.981235434,0.084122589,0.0449451364,0
